"Дата посещения","День недели","Торговый представитель","Номер точки маршрута","Название точки","Адрес точки","Время прибытия","Продолжительность посещения","Частота посещения ( раз в неделю)","Дистанция до следующей"
"5/18/2020","Monday","Мерчендайзер-1","1","Карусель","г.Казань, Ямашева пр-кт, 93","09:00","03:57","2","1.268"
"5/18/2020","Monday","Мерчендайзер-1","2","Детский мир","г.Казань, Ибрагимова пр-кт, 56","12:58:16","02:50","5","0.629"
"5/18/2020","Monday","Мерчендайзер-1","3","Магнит","г.Казань, Ибрагимова пр-кт, 83а","15:48:53","00:24","2","9.501"
"5/18/2020","Monday","Мерчендайзер-1","4","Эдельвейс","г.Казань, Мавлютова ул, 17","16:22:23","01:18","3","0.0"
"5/18/2020","Monday","Мерчендайзер-2","1","Эдельвейс","г.Казань, Максимова ул., 4а","09:00","01:12","2","0.581"
"5/18/2020","Monday","Мерчендайзер-2","2","Эдельвейс","г.Казань, Гареева ул., 108","10:12:34","01:25","3","1.467"
"5/18/2020","Monday","Мерчендайзер-2","3","Карусель","г.Казань, Фучика ул., 90","11:39:02","01:35","2","0.529"
"5/18/2020","Monday","Мерчендайзер-2","4","Эдельвейс","г.Казань, Нижняя ул., 8","13:14:33","01:03","2","1.383"
"5/18/2020","Monday","Мерчендайзер-2","5","Эдельвейс","г.Казань, Оренбургский тракт, 138","14:18:55","00:35","3","0.628"
"5/18/2020","Monday","Мерчендайзер-2","6","Магнит","г.Казань, Родины  ул., 1","14:54:32","01:24","2","0.581"
"5/18/2020","Monday","Мерчендайзер-2","7","Пятёрочка","г.Казань, Баки Урманче ул., 8","16:19:06","00:59","2","2.736"
"5/18/2020","Monday","Мерчендайзер-2","8","Магнит","г.Казань, Фрунзе ул., 11","17:20:50","00:34","2","0.0"
"5/18/2020","Monday","Мерчендайзер-3","1","Эдельвейс","г.Казань, Фучика ул., 30","09:00","01:20","3","7.337"
"5/18/2020","Monday","Мерчендайзер-3","2","Бахетле","г.Казань, Залесная ул., 66","10:27:20","01:39","2","5.135"
"5/18/2020","Monday","Мерчендайзер-3","3","Магнит","г.Казань, Фучика ул., 87","12:11:28","00:26","2","4.081"
"5/18/2020","Monday","Мерчендайзер-3","4","Эдельвейс","г.Казань, Фучика ул., 105 а","12:41:32","02:04","2","0.29"
"5/18/2020","Monday","Мерчендайзер-3","5","Пятёрочка","г.Казань, Юлиуса Фучика ул., 105А","14:45:49","01:09","2","0.668"
"5/18/2020","Monday","Мерчендайзер-3","6","Эссен","г.Казань, Кул-Гали ул., 9А","15:55:29","00:35","4","0.0"
"5/18/2020","Monday","Мерчендайзер-4","1","Эдельвейс","г.Казань, Петербургская ул., 1","09:00","02:27","3","2.815"
"5/18/2020","Monday","Мерчендайзер-4","2","Эдельвейс","г.Казань, Победы пр-кт, 116","11:29:48","00:38","2","0.73"
"5/18/2020","Monday","Мерчендайзер-4","3","Пятёрочка","г.Казань, Мавлютова ул., 29","12:08:31","00:33","3","0.723"
